"Story","Title","Result","Date","Stability","Duration (s)"
"Descargar Contrato de Tarjeta de Credito","Descargar Contrato de Tarjeta de Credito","ERROR","2020-09-08T14:22:00.8744465-05:00[America/Bogota]","0.0","28.68"
"Visualizar el depósito de cuenta corriente","Visualizar el deposito de cuenta corriente","ERROR","2020-09-07T11:59:15.6663142-05:00[America/Bogota]","0.0","27.13"
